x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
2,2,3.69112,-3.43113,13.44724,-5.12927,2.72069
2,2.5,3.82976,-3.36181,13.20464,-4.95599,2.61671
2,3,3.98572,-3.29249,12.91005,-4.74804,2.53007
2,3.5,4.15901,-3.18852,12.58080,-4.52277,2.44342
2,4,4.33231,-3.08455,12.19956,-4.26284,2.37410
2,4.5,4.50560,-2.98057,11.81832,-4.00291,2.28746
2,5,4.73088,-2.85927,11.41976,-3.76031,2.21814
2.5,-5,2.20081,-2.73797,11.38510,-3.82963,4.67889
2.5,-4.5,2.27013,-2.84194,11.80099,-4.12421,4.45361
2.5,-4,2.33944,-2.96325,12.19956,-4.38414,4.28032
2.5,-3.5,2.42609,-3.04989,12.58080,-4.66140,4.10703
2.5,-3,2.51274,-3.13653,12.94470,-4.92133,3.93373
2.5,-2.5,2.59938,-3.20585,13.23930,-5.14660,3.77777
2.5,-2,2.68603,-3.27517,13.51656,-5.33721,3.63914
2.5,-1.5,2.79000,-3.30982,13.74183,-5.51050,3.50050
2.5,-1,2.89398,-3.34448,13.89779,-5.61447,3.36187
2.5,-0.5,2.99796,-3.36181,14.01910,-5.71844,3.24056
2.5,0,3.11926,-3.37914,14.01910,-5.71844,3.11926
2.5,0.5,3.22324,-3.36181,14.01910,-5.71844,2.99796
2.5,1,3.36187,-3.34448,13.88047,-5.61447,2.87665
2.5,1.5,3.50050,-3.29249,13.72450,-5.51050,2.79000
2.5,2,3.62181,-3.25784,13.51656,-5.33721,2.68603
2.5,2.5,3.77777,-3.18852,13.23930,-5.14660,2.61671
2.5,3,3.95106,-3.11921,12.92737,-4.92133,2.51274
2.5,3.5,4.10703,-3.04989,12.58080,-4.66140,2.42609
2.5,4,4.28032,-2.94592,12.19956,-4.40147,2.33944
2.5,4.5,4.47094,-2.84194,11.81832,-4.12421,2.27013
2.5,5,4.66156,-2.75530,11.38510,-3.82963,2.20081
3,-5,2.16615,-2.63400,11.33311,-3.86428,4.57491
3,-4.5,2.23547,-2.73797,11.76634,-4.17620,4.40162
3,-4,2.32212,-2.82461,12.19956,-4.50544,4.21100
3,-3.5,2.40876,-2.89393,12.59813,-4.81736,4.05504
3,-3,2.47808,-2.98057,12.96203,-5.07729,3.88175
3,-2.5,2.58205,-3.06722,13.30861,-5.33721,3.72578
3,-2,2.66870,-3.10188,13.58587,-5.56249,3.58715
3,-1.5,2.75535,-3.15386,13.81115,-5.73577,3.44851
3,-1,2.85932,-3.17119,13.98444,-5.87440,3.32721
